,ts,lat,lon,fatalities
1,2019-09-28,1.7131,44.7639,2
2,2019-09-28,1.9833,44.8333,0
3,2019-09-28,-0.3603,42.5463,9
4,2019-09-28,2.4492,45.3542,1
5,2019-09-28,1.9833,44.8333,10
6,2019-09-27,4.1854,44.0535,2
7,2019-09-27,2.5083,45.4852,2
8,2019-09-27,2.0195,45.31,0
9,2019-09-27,5.8772,46.6321,2
10,2019-09-27,2.0333,45.35,0
11,2019-09-26,5.0075,45.1689,5
12,2019-09-26,1.8739,45.0276,4
13,2019-09-26,1.8342,44.9667,3
16,2019-09-26,3.1172,43.6469,0
17,2019-09-26,2.4492,45.3542,0
21,2019-09-26,7.5156,49.3377,2
22,2019-09-26,2.0581,45.3003,0
23,2019-09-26,2.35,45.3833,10
25,2019-09-25,5.0045,45.4728,4
26,2019-09-25,1.8872,44.7789,2
27,2019-09-25,2.8049,44.0821,0
28,2019-09-25,4.4,43.9167,0
29,2019-09-25,1.8342,44.9667,0
30,2019-09-25,2.0333,45.35,1
31,2019-09-25,2.0414,45.3337,0
32,2019-09-25,5.3505,48.5268,1
33,2019-09-25,2.7809,45.4968,2
34,2019-09-25,2.0333,45.35,3
35,2019-09-25,-0.3603,42.5463,3
36,2019-09-25,2.7301,41.1922,0
38,2019-09-25,1.8739,45.0276,30
40,2019-09-24,6.77,47.63,2
41,2019-09-24,2.7809,45.4968,0
42,2019-09-24,2.0678,45.35,1
43,2019-09-24,6.77,47.63,0
44,2019-09-24,4.0304,42.294,0
46,2019-09-24,-1.2408,41.5395,13
47,2019-09-23,3.1706,43.4099,4
48,2019-09-23,4.1854,44.0535,0
49,2019-09-23,2.048,45.32,2
50,2019-09-23,4.736000000000001,45.2043,1
51,2019-09-23,2.15,45.11600000000001,0
53,2019-09-22,1.7131,44.7639,0
54,2019-09-22,4.0182,44.5127,0
55,2019-09-22,0.4063,41.0124,0
56,2019-09-22,2.8712,43.0043,1
58,2019-09-22,2.0054,44.9872,20
59,2019-09-21,2.0549,45.33,10
60,2019-09-21,3.3834,45.5969,2
61,2019-09-21,2.9647,45.5124,0
62,2019-09-21,1.7131,44.7639,1
63,2019-09-21,3.9435,43.9418,0
64,2019-09-21,4.3535,43.1616,0
65,2019-09-21,2.5131,45.4929,2
66,2019-09-21,4.0601,45.2577,0
67,2019-09-20,2.0414,45.3337,0
68,2019-09-20,6.8476,47.5447,1
70,2019-09-20,0.5172,42.071000000000005,0
71,2019-09-20,2.0095,45.25,1
72,2019-09-19,6.9005,47.84,0
73,2019-09-19,1.9221,44.7871,0
74,2019-09-19,4.1854,44.0535,0
75,2019-09-19,2.8738,43.8875,3
76,2019-09-19,0.4099,41.0089,1
77,2019-09-18,2.15,45.11600000000001,2
78,2019-09-18,3.1172,43.6469,0
79,2019-09-18,9.9293,47.2173,0
80,2019-09-18,11.2842,49.1816,0
81,2019-09-18,3.1172,43.6469,0
84,2019-09-18,2.0414,45.3337,3
85,2019-09-18,2.0414,45.3337,0
86,2019-09-17,-0.3603,42.5463,2
88,2019-09-17,2.6195,44.8936,1
89,2019-09-17,10.3254,42.8374,0
90,2019-09-17,4.1209,44.0365,0
91,2019-09-17,0.0692,42.7382,13
92,2019-09-17,3.3834,45.5969,5
94,2019-09-17,-0.3603,42.5463,0
95,2019-09-17,0.0692,42.7382,0
96,2019-09-16,1.7878,44.53,0
97,2019-09-16,2.0333,45.35,1
98,2019-09-16,2.0095,45.25,0
104,2019-09-15,1.7878,44.53,9
112,2019-09-15,10.07,50.18,0
113,2019-09-15,1.7878,44.53,1
114,2019-09-15,2.0678,45.35,1
115,2019-09-15,2.39,45.3833,0
116,2019-09-15,2.39,45.3833,1
117,2019-09-15,2.39,45.3833,1
118,2019-09-15,1.7878,44.53,0
120,2019-09-15,1.7878,44.53,4
121,2019-09-14,1.7131,44.7639,0
122,2019-09-14,2.39,45.3833,6
123,2019-09-14,1.7878,44.53,0
124,2019-09-14,2.0476,44.8975,0
125,2019-09-14,1.7131,44.7639,2
126,2019-09-14,2.39,45.3833,5
127,2019-09-14,1.9833,44.8333,0
128,2019-09-14,2.15,45.11600000000001,0
130,2019-09-14,1.7878,44.53,0
131,2019-09-14,2.39,45.3833,10
132,2019-09-14,2.0414,45.3337,0
133,2019-09-14,1.7878,44.53,0
134,2019-09-14,2.4492,45.3542,10
135,2019-09-14,2.0581,45.3003,0
136,2019-09-13,2.0333,45.35,10
137,2019-09-13,1.7131,44.7639,10
138,2019-09-13,2.9647,45.5124,1
139,2019-09-13,1.6298,44.5196,0
140,2019-09-13,2.0678,45.35,0
141,2019-09-13,-0.3603,42.5463,0
142,2019-09-13,3.7807,41.8943,3
144,2019-09-13,8.4064,48.4819,1
146,2019-09-12,2.4074,42.9766,2
149,2019-09-12,5.5376,46.3867,0
151,2019-09-12,4.736000000000001,45.2043,0
152,2019-09-12,2.39,45.3833,0
153,2019-09-12,2.4074,42.9766,4
156,2019-09-11,10.6825,43.9432,0
157,2019-09-11,2.0581,45.3003,0
158,2019-09-11,2.0549,45.33,1
159,2019-09-11,2.0581,45.3003,0
162,2019-09-10,9.5598,44.0668,2
163,2019-09-10,1.7131,44.7639,0
164,2019-09-10,2.4492,45.3542,0
165,2019-09-10,5.3083,45.8774,2
170,2019-09-09,2.39,45.3833,0
171,2019-09-09,3.3280000000000003,42.2199,2
173,2019-09-09,2.4492,45.3542,0
174,2019-09-09,8.4774,47.3597,0
175,2019-09-09,3.5484,46.5459,2
176,2019-09-09,2.4492,45.3542,0
177,2019-09-09,2.9362,45.792,0
178,2019-09-09,3.5484,46.5459,2
179,2019-09-09,2.0095,45.25,2
180,2019-09-09,5.3083,45.8774,1
181,2019-09-09,1.1132,44.0297,0
183,2019-09-09,5.3083,45.8774,1
184,2019-09-09,2.0276,45.33,0
187,2019-09-08,0.4833,42.7666,1
188,2019-09-08,2.0581,45.3003,0
189,2019-09-08,2.0678,45.35,0
190,2019-09-08,2.8,45.55,0
191,2019-09-08,11.2842,49.1816,0
192,2019-09-08,3.2072,45.7593,0
193,2019-09-08,2.7809,45.4968,0
194,2019-09-08,2.8,45.55,4
195,2019-09-07,2.4492,45.3542,10
196,2019-09-07,2.0652,45.39,1
198,2019-09-07,2.0333,45.35,1
199,2019-09-07,1.7878,44.53,10
200,2019-09-07,2.5159,45.3622,10
202,2019-09-04,2.0844,45.39,0
203,2019-09-04,0.2671,42.1722,0
204,2019-09-04,1.2448,42.5732,0
205,2019-09-04,1.2495,43.8045,4
206,2019-09-04,2.15,45.11600000000001,0
209,2019-09-03,0.4833,42.766000000000005,0
211,2019-09-03,11.2842,49.1816,0
212,2019-09-03,2.0462,45.3341,0
213,2019-09-03,2.0476,45.35,2
214,2019-09-03,1.6298,44.5196,0
215,2019-09-03,2.3963,45.0159,0
216,2019-09-03,2.6195,44.8936,4
217,2019-09-03,3.8519,45.5651,0
218,2019-09-02,2.0095,45.25,0
219,2019-09-02,3.3834,45.5969,5
220,2019-09-02,2.0678,45.35,1
221,2019-09-02,1.7131,44.7639,0
222,2019-09-02,2.39,45.3833,0
223,2019-09-02,1.9536,41.0746,0
225,2019-09-01,6.7697,47.4308,0
227,2019-09-01,2.0095,45.25,0
228,2019-09-01,3.5484,46.5459,2
229,2019-09-01,2.39,45.3833,2
230,2019-09-01,2.7809,45.4968,0
232,2019-08-31,2.0462,45.3341,1
233,2019-08-31,2.0652,45.39,1
234,2019-08-31,3.5484,46.5459,3
235,2019-08-31,2.4492,45.3542,0
236,2019-08-31,1.8872,44.7789,0
237,2019-08-31,2.39,45.3833,0
238,2019-08-31,1.8872,44.7789,0
239,2019-08-31,2.1436,45.1165,0
240,2019-08-31,2.4492,45.3542,0
241,2019-08-30,6.7697,47.4308,1
242,2019-08-30,0.0692,42.7382,5
243,2019-08-30,1.7493,44.7437,0
244,2019-08-30,3.1166,43.65,0
245,2019-08-30,3.5484,46.5459,4
246,2019-08-29,4.736000000000001,45.2043,0
247,2019-08-29,6.7697,47.4308,0
248,2019-08-29,-0.3603,42.5463,0
249,2019-08-29,-0.4876,42.1839,0
250,2019-08-29,1.9233,45.1023,0
251,2019-08-29,1.7878,44.53,0
252,2019-08-29,3.0205,46.0758,2
253,2019-08-29,3.3834,45.5969,1
254,2019-08-29,2.0414,45.3337,0
255,2019-08-29,2.39,45.3833,1
257,2019-08-28,2.0095,45.25,0
258,2019-08-28,1.6298,44.5196,0
259,2019-08-28,2.7809,45.4968,10
260,2019-08-28,2.5083,45.4852,1
261,2019-08-28,2.39,45.3833,1
262,2019-08-28,-0.3603,42.5463,0
263,2019-08-27,1.6584,44.58,0
264,2019-08-27,2.15,45.11600000000001,0
265,2019-08-27,2.1311,45.0377,0
266,2019-08-27,2.3963,45.0159,10
267,2019-08-27,3.3834,45.5969,0
268,2019-08-27,2.39,45.3833,2
269,2019-08-27,3.5484,46.5459,4
270,2019-08-27,3.5589,46.7406,1
271,2019-08-27,2.0549,45.33,0
272,2019-08-27,2.0333,45.35,1
273,2019-08-27,1.7493,44.7437,0
274,2019-08-27,1.6298,44.5196,0
278,2019-08-26,2.0678,45.35,0
279,2019-08-26,2.39,45.3833,0
280,2019-08-26,1.6298,44.5196,0
281,2019-08-26,2.048,45.32,0
282,2019-08-26,0.4833,42.766000000000005,0
283,2019-08-26,1.2448,42.5732,0
284,2019-08-26,1.6394,42.4522,0
285,2019-08-26,1.81,42.2899,0
286,2019-08-25,2.0414,45.3337,0
289,2019-08-25,3.3834,45.5969,0
290,2019-08-25,2.0414,45.3337,1
291,2019-08-25,2.0333,45.35,10
292,2019-08-25,4.736000000000001,45.2043,0
293,2019-08-25,2.0095,45.25,2
294,2019-08-25,2.0195,45.31,1
295,2019-08-25,2.0333,45.35,0
296,2019-08-25,-0.3603,42.5463,0
297,2019-08-25,2.39,45.3833,10
298,2019-08-25,2.39,45.3833,0
299,2019-08-25,2.0462,45.3341,0
300,2019-08-25,1.9233,45.1023,0
301,2019-08-24,-0.07400000000000001,42.5719,3
302,2019-08-24,1.2495,43.8045,2
303,2019-08-24,2.0581,45.3003,0
304,2019-08-24,3.0205,46.0758,0
306,2019-08-23,2.6195,44.8936,0
307,2019-08-23,2.0414,45.3337,0
308,2019-08-23,2.0333,45.35,0
309,2019-08-23,0.4063,41.0124,0
310,2019-08-23,6.7697,47.4308,1
311,2019-08-23,2.0678,45.35,1
312,2019-08-23,2.3963,45.0159,0
