ts,Awdal - Baki,Awdal - Borama,Awdal - Lughaye,Awdal - Zeylac,Bakool - Ceel Barde,Bakool - Rab Dhuure,Bakool - Tayeeglow,Bakool - Waajid,Bakool - Xudur,Banadir - Banadir,Bari - Bandarbeyla,Bari - Bossaso,Bari - Caluula,Bari - Iskushuban,Bari - Qandala,Bari - Qardho,Bay - Baidoa,Bay - Buur Hakaba,Bay - Diinsoor,Bay - Qansax Dheere,Galgaduud - Cabudwaaq,Galgaduud - Cadaado,Galgaduud - Ceel Buur,Galgaduud - Ceel Dheer,Galgaduud - Dhuusamarreeb,Gedo - Baardheere,Gedo - Belet Xaawo,Gedo - Ceel Waaq,Gedo - Doolow,Gedo - Garbahaarey,Gedo - Luuq,Hiraan - Belet Weyne,Hiraan - Bulo Burto,Hiraan - Jalalaqsi,Lower Juba - Afmadow,Lower Juba - Badhaadhe,Lower Juba - Jamaame,Lower Juba - Kismayo,Lower Juba - Saakow,Lower Shabelle - Afgooye,Lower Shabelle - Baraawe,Lower Shabelle - Kurtunwaarey,Lower Shabelle - Marka,Lower Shabelle - Qoryooley,Lower Shabelle - Sablaale,Lower Shabelle - Wanla Weyn,Middle Juba - Bu'aale,Middle Juba - Jilib,Middle Juba - Saakow,Middle Shabelle - Adan Yabaal,Middle Shabelle - Balcad,Middle Shabelle - Cadale,Middle Shabelle - Jowhar,Mudug - Gaalkacyo,Mudug - Galdogob,Mudug - Hobyo,Mudug - Jariiban,Mudug - Xarardheere,Nugaal - Burtinle,Nugaal - Eyl,Nugaal - Garoowe,Nugaal - Qardho,Sanaag - Badhan,Sanaag - Ceel Afweyn,Sanaag - Ceerigaabo,Sanaag - Dhahar,Sanaag - Laasqoray,Sanaag - Lasqoray,Sool - Caynabo,Sool - Laas Caanood,Sool - Taleex,Sool - Xudun,Togdheer - Burco,Togdheer - Buuhoodle,Togdheer - Owdweyne,Togdheer - Sheikh,Woqooyi Galbeed - Berbera,Woqooyi Galbeed - Gebiley,Woqooyi Galbeed - Hargeysa
2016-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-10,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,17.0,37.0,13.0,18.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,6.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,12.0
2016-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,143.0,5.0,12.0,17.0,5.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2016-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,28.0,8.0,427.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
2016-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,48.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,238.0,4.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,14.0,0.0,1334.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,14.0
2016-02-07,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,57.0,0.0,26.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,4.0,0.0,0.0,5.0,6.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,4.0
2016-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,0.0,18.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,17.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,3.0
2016-02-21,0.0,0.0,0.0,0.0,0.0,17.0,0.0,104.0,0.0,99.0,0.0,9.0,0.0,0.0,0.0,0.0,17.0,6.0,31.0,28.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,100.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0
2016-02-28,7.0,0.0,6.0,0.0,0.0,26.0,0.0,64.0,0.0,47.0,4.0,0.0,0.0,0.0,0.0,7.0,3.0,5.0,19.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,11.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,25.0,7.0,0.0
2016-03-06,16.0,0.0,0.0,0.0,13.0,17.0,0.0,0.0,0.0,37.0,39.0,8.0,8.0,7.0,0.0,6.0,4.0,0.0,11.0,34.0,7.0,5.0,0.0,0.0,6.0,145.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,5.0,6.0,11.0
2016-03-13,14.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,5.0,28.0,8.0,4.0,0.0,0.0,8.0,4.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,11.0,6.0,0.0
2016-03-20,7.0,6.0,20.0,14.0,1144.0,0.0,0.0,0.0,0.0,22.0,0.0,7.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,13.0,0.0,6.0,6.0,32.0,8.0,9.0
2016-03-27,0.0,0.0,40.0,0.0,0.0,145.0,0.0,5.0,0.0,34.0,9.0,0.0,0.0,0.0,0.0,18.0,12.0,0.0,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,33.0,0.0,0.0,3.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,460.0,6.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,6.0,100.0,0.0,0.0,0.0,0.0,14.0,5.0,0.0,10.0
2016-04-03,0.0,5.0,14.0,20.0,0.0,100.0,68.0,6.0,0.0,1400.0,0.0,21.0,2.0,0.0,10.0,5.0,11.0,18.0,37.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,193.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,20.0,0.0,10.0,0.0,0.0,0.0,5.0,141.0,0.0,0.0,12.0,21.0,4.0,5.0,5.0
2016-04-10,0.0,6.0,27.0,0.0,0.0,0.0,0.0,10.0,0.0,39.0,0.0,16.0,0.0,9.0,9.0,13.0,7.0,0.0,0.0,0.0,5.0,10.0,8.0,0.0,0.0,125.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,5.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,26.0,0.0,15.0,0.0,4.0,10.0,39.0,57.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
