month,region,district,arrivals,departures,conflict,ndvi,rainfall
2016-01,Awdal,Baki,0,0,0,0.15,0
2016-01,Awdal,Borama,89,0,0,0.16,2.3376623376623377e-4
2016-01,Awdal,Lughaye,0,0,0,0.11,0
2016-01,Awdal,Zeylac,0,0,0,0.09,1.0389610389610389e-4
2016-01,Bakool,Ceel Barde,0,0,0,0.25,0
2016-01,Bakool,Rab Dhuure,0,0,6,0.18,0
2016-01,Bakool,Tayeeglow,0,7,0,0.36,0
2016-01,Bakool,Waajid,0,14,0,0.28,0
2016-01,Bakool,Xudur,0,3,2,0.27,0
2016-01,Banadir,Banadir,0,175,35,NA,NA
2016-01,Bari,Bandarbeyla,0,0,0,0.14,0
2016-01,Bari,Bossaso,16,32,1,0.16,0
2016-01,Bari,Caluula,0,0,0,0.23,0
2016-01,Bari,Iskushuban,0,0,0,0.15,0
2016-01,Bari,Qandala,0,0,0,0.19,0
2016-01,Bari,Qardho,15,0,2,0.13,0
2016-01,Bay,Baidoa,114,43,24,NA,NA
2016-01,Bay,Buur Hakaba,0,0,26,0.37,0
2016-01,Bay,Diinsoor,0,160,0,0.37,0
2016-01,Bay,Qansax Dheere,0,55,0,0.37,0
2016-01,Galgaduud,Cabudwaaq,0,268,1,0.21,0
2016-01,Galgaduud,Cadaado,0,39,0,0.2,0
2016-01,Galgaduud,Ceel Buur,0,5,12,0.23,0
2016-01,Galgaduud,Ceel Dheer,0,0,0,0.27,0
2016-01,Galgaduud,Dhuusamarreeb,0,0,0,0.22,0
2016-01,Gedo,Baardheere,0,216,30,0.32,0
2016-01,Gedo,Belet Xaawo,0,0,22,0.25,0
2016-01,Gedo,Ceel Waaq,0,0,0,0.31,0
2016-01,Gedo,Doolow,0,0,0,0.19,0
2016-01,Gedo,Garbahaarey,0,0,198,0.27,0
2016-01,Gedo,Luuq,10,7,0,0.2,0
2016-01,Hiraan,Belet Weyne,0,30,8,0.27,0
2016-01,Hiraan,Bulo Burto,0,0,12,0.32,0
2016-01,Hiraan,Jalalaqsi,0,20,1,0.36,0
2016-01,Lower Juba,Afmadow,0,0,11,0.43,1.7316017316017318e-5
2016-01,Lower Juba,Badhaadhe,0,0,20,0.58,3.29004329004329e-4
2016-01,Lower Juba,Jamaame,0,10,0,0.42,0
2016-01,Lower Juba,Kismayo,10,0,1,NA,NA
2016-01,Lower Juba,Saakow,0,0,0,0.33,0
2016-01,Lower Shabelle,Afgooye,0,0,33,0.34,0
2016-01,Lower Shabelle,Baraawe,0,128,3,0.31,0
2016-01,Lower Shabelle,Kurtunwaarey,0,0,1,0.5,0
2016-01,Lower Shabelle,Marka,0,3,9,0.38,0
2016-01,Lower Shabelle,Qoryooley,0,0,0,0.45,0
2016-01,Lower Shabelle,Sablaale,0,0,0,0.51,0
2016-01,Lower Shabelle,Wanla Weyn,0,0,0,0.32,0
2016-01,Middle Juba,Bu'aale,126,0,0,0.45,0
2016-01,Middle Juba,Jilib,165,9,2,0.54,0
2016-01,Middle Juba,Saakow,175,0,5,0.33,0
