ts,region,district,arrivals,departures,conflict
2016-01-03,Awdal,Baki,0,0,0
2016-01-03,Awdal,Borama,0,0,0
2016-01-03,Awdal,Lughaye,0,0,0
2016-01-03,Awdal,Zeylac,0,0,0
2016-01-03,Bakool,Ceel Barde,0,0,0
2016-01-03,Bakool,Rab Dhuure,0,0,1
2016-01-03,Bakool,Tayeeglow,0,0,0
2016-01-03,Bakool,Waajid,0,0,0
2016-01-03,Bakool,Xudur,0,0,2
2016-01-03,Banadir,Banadir,0,11,6
2016-01-03,Bari,Bandarbeyla,0,0,0
2016-01-03,Bari,Bossaso,0,4,0
2016-01-03,Bari,Caluula,0,0,0
2016-01-03,Bari,Iskushuban,0,0,0
2016-01-03,Bari,Qandala,0,0,0
2016-01-03,Bari,Qardho,0,0,0
2016-01-03,Bay,Baidoa,11,7,0
2016-01-03,Bay,Buur Hakaba,0,0,0
2016-01-03,Bay,Diinsoor,0,0,0
2016-01-03,Bay,Qansax Dheere,0,4,0
2016-01-03,Galgaduud,Cabudwaaq,0,0,0
2016-01-03,Galgaduud,Cadaado,0,0,0
2016-01-03,Galgaduud,Ceel Buur,0,0,2
2016-01-03,Galgaduud,Ceel Dheer,0,0,0
2016-01-03,Galgaduud,Dhuusamarreeb,0,0,0
2016-01-03,Gedo,Baardheere,0,23,19
2016-01-03,Gedo,Belet Xaawo,0,0,7
2016-01-03,Gedo,Ceel Waaq,0,0,0
2016-01-03,Gedo,Doolow,0,0,0
2016-01-03,Gedo,Garbahaarey,0,0,0
2016-01-03,Gedo,Luuq,0,0,0
2016-01-03,Hiraan,Belet Weyne,0,5,7
2016-01-03,Hiraan,Bulo Burto,0,0,3
2016-01-03,Hiraan,Jalalaqsi,0,0,0
2016-01-03,Lower Juba,Afmadow,0,0,0
2016-01-03,Lower Juba,Badhaadhe,0,0,0
2016-01-03,Lower Juba,Jamaame,0,0,0
2016-01-03,Lower Juba,Kismayo,0,0,0
2016-01-03,Lower Juba,Saakow,0,0,0
2016-01-03,Lower Shabelle,Afgooye,0,0,0
2016-01-03,Lower Shabelle,Baraawe,0,0,3
2016-01-03,Lower Shabelle,Kurtunwaarey,0,0,0
2016-01-03,Lower Shabelle,Marka,0,3,0
