Regions,Districts,Rainfall,Vegetation cover (NDVI),Price of water,Sorghum prices,Maize prices,Red Rice prices,Local goat prices,Wage labor,TOT (goat to cereals),TOT (wage to cereals),Cost of Minimum Basket (CMB),New Admissions (GAM),Measles Cases,AWD/cholera cases,AWD/Cholera deaths,Malaria Cases,Displacement (arrivals),Displacement (departures),date
Awdal,Borama,0.0,0.15,,3663.0,4500.0,4675.0,170000.0,32250.0,36.0,7.0,,,,,,,,,2010-01
Awdal,Baki,0.0,0.13,,,,,,,,,,,,,,,,,2010-01
Awdal,Lughaye,0.0,0.09,,4000.0,,4800.0,120000.0,,30.0,,,,,,,,,,2010-01
Awdal,Zeylac,0.0,0.09,,6000.0,4000.0,5200.0,,40000.0,,8.0,,,,,,,,,2010-01
Woqooyi Galbeed,Hargeysa,0.0,0.0,,2500.0,2800.0,5000.0,280000.0,30000.0,56.0,6.0,,,,,,,,,2010-01
Woqooyi Galbeed,Berbera,0.0,0.11,,,,,,,,,,,,,,,,,2010-01
Woqooyi Galbeed,Gebiley,0.0,0.16,,2000.0,,5375.0,157500.0,30000.0,29.0,6.0,,,,,,,,,2010-01
Togdheer,Burco,0.0,0.16,,4000.0,4000.0,4875.0,156250.0,25000.0,32.0,5.0,,,,,,,,,2010-01
Togdheer,Buuhoodle,0.0,0.17,,,,,,,,,,,,,,,,,2010-01
Togdheer,Owdweyne,0.0,0.15,,,,,,,,,,,,,,,,,2010-01
Togdheer,Sheikh,0.0,0.18,,,,,,,,,,,,,,,,,2010-01
Sool,Laas Caanood,0.0,0.15,,14500.0,16500.0,18250.0,1125000.0,117500.0,62.0,6.0,,,,,,,,,2010-01
Sool,Caynabo,0.0,0.14,,,,,,,,,,,,,,,,,2010-01
Sool,Taleex,0.0,0.13,,,,,,,,,,,,,,,,,2010-01
Sool,Xudun,0.0,0.13,,20000.0,,18000.0,837500.0,120000.0,42.0,6.0,,,,,,,,,2010-01
Sanaag,Ceerigaabo,0.0,0.13,,15000.0,,24250.0,825000.0,120000.0,34.0,5.0,,,,,,,,,2010-01
Sanaag,Ceel Afweyn,0.0,0.13,,15000.0,9000.0,22375.0,912500.0,100000.0,61.0,7.0,,,,,,,,,2010-01
Sanaag,Laasqoray,0.0,0.15,,,,,,,,,,,,,,,,,2010-01
Bari,Bossaso,0.0,0.15,,16000.0,15250.0,17500.0,1275000.0,80000.0,73.0,5.0,,,,,,,,,2010-01
Bari,Bandarbeyla,0.0,0.13,,,,,,,,,,,,,,,,,2010-01
Bari,Caluula,0.0,0.18,,,,,,,,,,,,,,,,,2010-01
Bari,Iskushuban,0.0,0.14,,,,,,,,,,,,,,,,,2010-01
Bari,Qandala,0.0,0.16,,,,,,,,,,,,,,,,,2010-01
Bari,Qardho,0.0,0.13,,,,,,,,,,,,,,,,,2010-01
Nugaal,Garoowe,0.0,0.14,,17500.0,16500.0,16000.0,1062500.0,100000.0,66.0,6.0,,,,,,,,,2010-01
Nugaal,Burtinle,0.0,0.16,,10000.0,13500.0,18500.0,1150000.0,120000.0,115.0,12.0,,,,,,,,,2010-01
Nugaal,Eyl,0.0,0.15,,20000.0,,25000.0,800000.0,100000.0,40.0,5.0,,,,,,,,,2010-01
Mudug,Gaalkacyo,0.0,0.16,,9000.0,12000.0,22000.0,1200000.0,110000.0,55.0,5.0,,,,,,,,,2010-01
Mudug,Galdogob,0.0,0.16,,,,,,,,,,,,,,,,,2010-01
Mudug,Hobyo,0.05,0.15,,9000.0,,32400.0,900000.0,40000.0,100.0,5.0,,,,,,,,,2010-01
Mudug,Jariiban,0.0,0.15,,,,,,,,,,,,,,,,,2010-01
Mudug,Xarardheere,0.0,0.18,,7000.0,13500.0,32500.0,900000.0,75000.0,28.0,2.0,,,,,,,,,2010-01
Galgaduud,Dhuusamarreeb,0.0,0.17,,18000.0,21000.0,27000.0,730000.0,62500.0,27.0,2.0,,,,,,,,,2010-01
Galgaduud,Cabudwaaq,0.0,0.17,,10000.0,10000.0,22000.0,1000000.0,90000.0,45.0,4.0,,,,,,,,,2010-01
Galgaduud,Cadaado,0.0,0.17,,,,,,,,,,,,,,,,,2010-01
Galgaduud,Ceel Buur,0.0,0.2,,,,,,,,,,,,,,,,,2010-01
Galgaduud,Ceel Dheer,0.0,0.23,,8750.0,14750.0,30250.0,737500.0,80000.0,24.0,3.0,,,,,,,,,2010-01
Hiraan,Belet Weyne,0.0,0.2,,9000.0,9000.0,20000.0,525000.0,125000.0,58.0,14.0,,,,,,,,,2010-01
Hiraan,Bulo Burto,0.0,0.24,,,,,,,,,,,,,,,,,2010-01
Hiraan,Jalalaqsi,0.0,0.25,,8500.0,9750.0,25000.0,645000.0,70000.0,76.0,9.0,,,,,,,,,2010-01
Shabelle Dhexe,Jowhar,0.0,0.29,,6775.0,10800.0,20000.0,1245000.0,60000.0,115.0,6.0,,,,,,,,,2010-01
Shabelle Dhexe,Adan Yabaal,0.0,0.29,,12000.0,,25000.0,800000.0,30000.0,,,,,,,,,,,2010-01
Shabelle Dhexe,Balcad,0.0,0.35,,6600.0,12000.0,22000.0,925000.0,32500.0,77.0,3.0,,,,,,,,,2010-01
Shabelle Dhexe,Cadale,0.0,0.3,,9000.0,12000.0,22000.0,662500.0,41250.0,55.0,4.0,,,,,,,,,2010-01
Banadir,Mogadishu,,,,6000.0,7250.0,21750.0,1125000.0,52500.0,155.0,7.0,,,,,,,,,2010-01
Shabelle Hoose,Marka,0.0,0.37,,7750.0,8417.0,18500.0,1265000.0,121250.0,150.0,14.0,,,,,,,,,2010-01
Shabelle Hoose,Afgooye,0.0,0.32,,,,,,,,,,,,,,,,,2010-01
Shabelle Hoose,Baraawe,0.0,0.4,,28000.0,7500.0,22000.0,950000.0,,127.0,,,,,,,,,,2010-01
Shabelle Hoose,Kurtunwaarey,0.0,0.52,,6000.0,6917.0,15583.0,1002500.0,65000.0,145.0,10.0,,,,,,,,,2010-01
Shabelle Hoose,Qoryooley,0.0,0.46,,9167.0,6797.0,18250.0,995000.0,57500.0,146.0,8.0,,,,,,,,,2010-01
Shabelle Hoose,Sablaale,0.0,0.55,,,,,,,,,,,,,,,,,2010-01
Shabelle Hoose,Wanla Weyn,0.0,0.27,,5667.0,8000.0,20000.0,645000.0,31750.0,81.0,4.0,,,,,,,,,2010-01
Bay,Baydhaba,0.0,0.38,,4425.0,7075.0,20500.0,700000.0,70000.0,158.0,16.0,,,,,,,,,2010-01
Bay,Buur Hakaba,0.0,0.39,,5125.0,7375.0,19500.0,740000.0,85000.0,144.0,17.0,,,,,,,,,2010-01
Bay,Diinsoor,0.0,0.39,,5575.0,8625.0,22000.0,618750.0,46250.0,111.0,8.0,,,,,,,,,2010-01
Bay,Qansax Dheere,0.0,0.34,,5500.0,8750.0,26250.0,902500.0,60000.0,164.0,11.0,,,,,,,,,2010-01
Bakool,Xudur,0.0,0.24,,7500.0,10125.0,24000.0,560000.0,32500.0,75.0,4.0,,,,,,,,,2010-01
Bakool,Ceel Barde,0.0,0.21,,9500.0,11500.0,30000.0,482500.0,56250.0,51.0,6.0,,,,,,,,,2010-01
Bakool,Tayeeglow,0.0,0.29,,9000.0,9000.0,22750.0,530000.0,29500.0,59.0,4.0,,,,,,,,,2010-01
Bakool,Waajid,0.0,0.25,,,,,,,,,,,,,,,,,2010-01
Bakool,Rab Dhuure,0.0,0.17,,,,,,,,,,,,,,,,,2010-01
Gedo,Garbahaarey,0.0,0.24,,,,,,,,,,,,,,,,,2010-01
Gedo,Baardheere,0.0,0.32,,5000.0,8000.0,22000.0,800000.0,80000.0,160.0,16.0,,,,,,,,,2010-01
Gedo,Belet Xaawo,0.0,0.23,,14350.0,17000.0,30500.0,840000.0,180000.0,59.0,13.0,,,,,,,,,2010-01
Gedo,Ceel Waaq,0.06,0.31,,9500.0,14000.0,24000.0,800000.0,120000.0,84.0,13.0,,,,,,,,,2010-01
Gedo,Doolow,0.0,0.21,,10000.0,12000.0,28000.0,610250.0,184000.0,61.0,18.0,,,,,,,,,2010-01
Gedo,Luuq,0.0,0.2,,10000.0,14000.0,24000.0,500000.0,95000.0,50.0,10.0,,,,,,,,,2010-01
Juba Dhexe,Bu'aale,0.0,0.49,,,7650.0,23000.0,832500.0,92500.0,109.0,12.0,,,,,,,,,2010-01
Juba Dhexe,Jilib,0.0,0.52,,,6700.0,20000.0,657500.0,106250.0,98.0,16.0,,,,,,,,,2010-01
Juba Dhexe,Saakow,0.0,0.37,,,,,,,,,,,,,,,,,2010-01
Juba Hoose,Kismaayo,0.0,0.47,,,5000.0,18750.0,780000.0,155750.0,156.0,31.0,,,,,,,,,2010-01
