date	Adan Yabaal	Afgooye	Afmadow	Baardheere	Badhaadhe	Baki	Balcad	Bandarbeyla	Baraawe	Baydhaba	Belet Weyne	Belet Xaawo	Berbera	Borama	Bossaso	Bu'aale	Bulo Burto	Burco	Burtinle	Buuhoodle	Buur Hakaba	Cabudwaaq	Cadaado	Cadale	Caluula	Caynabo	Ceel Afweyn	Ceel Barde	Ceel Buur	Ceel Dheer	Ceel Waaq	Ceerigaabo	Dhuusamarreeb	Diinsoor	Doolow	Eyl	Gaalkacyo	Galdogob	Garbahaarey	Garoowe	Gebiley	Hargeysa	Hobyo	Iskushuban	Jalalaqsi	Jamaame	Jariiban	Jilib	Jowhar	Kismaayo	Kurtunwaarey	Laas Caanood	Laasqoray	Lughaye	Luuq	Marka	Mogadishu	Owdweyne	Qandala	Qansax Dheere	Qardho	Qoryooley	Rab Dhuure	Saakow	Sablaale	Sheikh	Taleex	Tayeeglow	Waajid	Wanla Weyn	Xarardheere	Xudun	Xudur	Zeylac
2010-01	0.29	0.32	0.4	0.32	0.51	0.13	0.35	0.13	0.4	0.38	0.2	0.23	0.11	0.15	0.15	0.49	0.24	0.16	0.16	0.17	0.39	0.17	0.17	0.3	0.18	0.14	0.13	0.21	0.2	0.23	0.31	0.13	0.17	0.39	0.21	0.15	0.16	0.16	0.24	0.14	0.16	0.0	0.15	0.14	0.25	0.41	0.15	0.52	0.29	0.47	0.52	0.15	0.15	0.09	0.2	0.37	0.0	0.15	0.16	0.34	0.13	0.46	0.17	0.37	0.55	0.18	0.13	0.29	0.25	0.27	0.18	0.13	0.24	0.09
2010-02	0.23	0.26	0.32	0.27	0.43	0.14	0.28	0.13	0.31	0.3	0.18	0.23	0.11	0.15	0.14	0.38	0.21	0.16	0.16	0.17	0.31	0.17	0.16	0.23	0.18	0.14	0.14	0.2	0.18	0.19	0.26	0.13	0.17	0.31	0.21	0.15	0.15	0.16	0.22	0.13	0.16	0.0	0.15	0.14	0.22	0.34	0.14	0.41	0.25	0.38	0.4	0.15	0.15	0.1	0.19	0.31	0.0	0.15	0.16	0.27	0.13	0.35	0.16	0.3	0.41	0.18	0.13	0.25	0.23	0.22	0.16	0.13	0.22	0.1
2010-03	0.23	0.25	0.35	0.33	0.45	0.19	0.26	0.13	0.29	0.38	0.19	0.32	0.13	0.2	0.15	0.43	0.22	0.18	0.16	0.18	0.34	0.17	0.16	0.23	0.18	0.15	0.16	0.24	0.19	0.19	0.33	0.15	0.17	0.37	0.32	0.15	0.16	0.16	0.29	0.13	0.22	0.0	0.14	0.14	0.23	0.32	0.14	0.39	0.25	0.4	0.39	0.15	0.16	0.14	0.28	0.3	0.0	0.16	0.17	0.32	0.14	0.36	0.21	0.35	0.42	0.22	0.14	0.29	0.31	0.23	0.16	0.14	0.26	0.13
2010-04	0.29	0.35	0.47	0.45	0.56	0.2	0.33	0.14	0.39	0.51	0.22	0.39	0.14	0.25	0.15	0.57	0.29	0.19	0.19	0.2	0.47	0.19	0.18	0.29	0.17	0.16	0.16	0.34	0.23	0.24	0.44	0.15	0.19	0.51	0.32	0.15	0.18	0.19	0.37	0.15	0.27	0.0	0.16	0.14	0.29	0.43	0.15	0.52	0.33	0.53	0.52	0.17	0.16	0.13	0.33	0.34	0.0	0.18	0.17	0.43	0.14	0.5	0.27	0.48	0.58	0.24	0.15	0.42	0.42	0.32	0.19	0.17	0.34	0.13
2010-05	0.35	0.46	0.5	0.42	0.66	0.18	0.43	0.15	0.54	0.53	0.29	0.36	0.13	0.25	0.15	0.6	0.34	0.21	0.22	0.24	0.56	0.26	0.22	0.33	0.18	0.18	0.16	0.35	0.28	0.3	0.4	0.17	0.25	0.53	0.24	0.17	0.22	0.24	0.36	0.18	0.28	0.0	0.19	0.14	0.34	0.55	0.19	0.64	0.43	0.66	0.63	0.21	0.16	0.12	0.28	0.43	0.0	0.21	0.17	0.45	0.15	0.62	0.25	0.47	0.68	0.26	0.17	0.47	0.4	0.42	0.25	0.2	0.38	0.12
2010-06	0.28	0.44	0.41	0.29	0.62	0.14	0.43	0.15	0.54	0.37	0.23	0.26	0.12	0.2	0.15	0.5	0.24	0.2	0.23	0.23	0.47	0.27	0.25	0.29	0.19	0.17	0.16	0.23	0.23	0.23	0.27	0.16	0.25	0.41	0.2	0.17	0.25	0.26	0.26	0.17	0.24	0.0	0.18	0.14	0.26	0.53	0.2	0.61	0.34	0.61	0.57	0.2	0.16	0.1	0.19	0.48	0.0	0.2	0.17	0.34	0.15	0.56	0.17	0.33	0.6	0.22	0.17	0.3	0.24	0.34	0.21	0.18	0.25	0.1
2010-07	0.22	0.41	0.36	0.25	0.58	0.13	0.39	0.13	0.52	0.29	0.19	0.22	0.1	0.2	0.14	0.48	0.2	0.17	0.19	0.18	0.39	0.21	0.21	0.24	0.2	0.14	0.14	0.19	0.2	0.19	0.23	0.14	0.21	0.35	0.18	0.15	0.21	0.21	0.22	0.15	0.21	0.0	0.16	0.14	0.21	0.5	0.18	0.56	0.29	0.53	0.55	0.17	0.15	0.09	0.17	0.49	0.0	0.17	0.16	0.28	0.14	0.51	0.14	0.29	0.58	0.19	0.15	0.24	0.19	0.27	0.18	0.15	0.2	0.1
2010-08	0.19	0.32	0.33	0.24	0.55	0.15	0.34	0.13	0.44	0.27	0.18	0.22	0.1	0.23	0.14	0.43	0.18	0.16	0.17	0.17	0.32	0.19	0.19	0.22	0.19	0.14	0.14	0.19	0.19	0.17	0.24	0.14	0.19	0.31	0.18	0.14	0.19	0.19	0.21	0.14	0.23	0.0	0.15	0.13	0.19	0.48	0.16	0.52	0.25	0.48	0.47	0.15	0.15	0.09	0.17	0.43	0.0	0.16	0.15	0.24	0.13	0.42	0.14	0.27	0.52	0.19	0.14	0.23	0.2	0.22	0.16	0.14	0.2	0.1
2010-09	0.19	0.26	0.29	0.23	0.47	0.17	0.3	0.13	0.35	0.25	0.18	0.22	0.11	0.26	0.14	0.37	0.18	0.17	0.17	0.17	0.28	0.19	0.18	0.21	0.19	0.14	0.14	0.19	0.18	0.17	0.24	0.14	0.19	0.28	0.17	0.14	0.18	0.19	0.2	0.14	0.28	0.0	0.15	0.14	0.19	0.42	0.15	0.44	0.24	0.4	0.39	0.15	0.15	0.1	0.17	0.38	0.0	0.18	0.16	0.22	0.13	0.34	0.14	0.25	0.43	0.21	0.13	0.23	0.2	0.2	0.15	0.14	0.2	0.11
2010-10	0.19	0.23	0.29	0.26	0.42	0.16	0.26	0.13	0.28	0.34	0.19	0.26	0.12	0.23	0.15	0.35	0.2	0.18	0.18	0.19	0.29	0.19	0.18	0.19	0.19	0.14	0.14	0.25	0.19	0.17	0.27	0.14	0.19	0.29	0.18	0.15	0.19	0.21	0.23	0.14	0.25	0.0	0.15	0.14	0.19	0.35	0.16	0.38	0.23	0.35	0.36	0.16	0.16	0.1	0.19	0.33	0.0	0.19	0.17	0.26	0.13	0.31	0.16	0.25	0.39	0.23	0.13	0.31	0.29	0.2	0.15	0.14	0.26	0.11
