region,year,week,SMN,SMT,VCI,TCI,VHI
Awdal,1982,1,0.043,303.14,26.29,56.43,41.36
Awdal,1982,2,0.041,302.79,26.13,57.76,41.94
Awdal,1982,3,0.042,302.66,31.05,58.43,44.74
Awdal,1982,4,0.047,302.78,38.28,57.98,48.13
Awdal,1982,5,0.05,302.77,41.17,57.78,49.47
Awdal,1982,6,0.051,302.81,44.01,58.98,51.49
Awdal,1982,7,0.052,302.6,46.27,59.51,52.89
Awdal,1982,8,0.053,302.72,48.85,59.95,54.4
Awdal,1982,9,0.058,303.36,51.01,60.64,55.83
Awdal,1982,10,0.063,304.16,54.02,58.05,56.03
Awdal,1982,11,0.066,304.32,53.82,56.87,55.34
Awdal,1982,12,0.065,303.37,50.92,57.38,54.15
Awdal,1982,13,0.064,301.7,48.27,62.69,55.48
Awdal,1982,14,0.066,301.28,49.94,67.01,58.48
Awdal,1982,15,0.073,301.48,55.97,67.63,61.8
Awdal,1982,16,0.084,302.27,64.58,67.47,66.03
Awdal,1982,17,0.092,303,66.13,66.72,66.43
Awdal,1982,18,0.097,303.73,66.78,64.25,65.51
Awdal,1982,19,0.099,304.28,66.86,62.16,64.51
Awdal,1982,20,0.098,304.63,64.83,61.44,63.13
Awdal,1982,21,0.095,305.7,64.32,59.29,61.8
Awdal,1982,22,0.09,307.11,64.55,57.29,60.92
Awdal,1982,23,0.081,308.31,63.79,54.86,59.32
Awdal,1982,24,0.07,308.96,59.01,54.53,56.77
Awdal,1982,25,0.06,309.09,56.49,53.75,55.12
Awdal,1982,26,0.053,309.01,56.57,50.36,53.46
Awdal,1982,27,0.047,309.23,57.28,42.92,50.1
Awdal,1982,28,0.043,309.49,57.98,34.6,46.29
Awdal,1982,29,0.039,309.19,55.83,32.54,44.18
Awdal,1982,30,0.034,308.13,51.95,35.5,43.73
Awdal,1982,31,0.032,307.36,49.21,38.08,43.65
Awdal,1982,32,0.033,307.24,48.27,39.64,43.96
Awdal,1982,33,0.033,306.9,47,42.83,44.92
Awdal,1982,34,0.035,306.67,46.78,44.84,45.81
Awdal,1982,35,0.038,307.4,48.07,43.53,45.8
Awdal,1982,36,0.04,307.94,47.94,44.27,46.11
Awdal,1982,37,0.042,307.64,45.51,50.73,48.12
Awdal,1982,38,0.043,306.88,42.95,60.07,51.51
Awdal,1982,39,0.046,305.78,42.35,69.61,55.98
Awdal,1982,40,0.052,305.78,47,72.01,59.5
Awdal,1982,41,0.059,305.68,51.61,72.41,62.01
Awdal,1982,42,0.065,305.28,53.48,71.09,62.29
Awdal,1982,43,0.07,304.51,56.78,70.97,63.87
Awdal,1982,44,0.074,304.2,59.21,67.41,63.31
Awdal,1982,45,0.079,303.98,60.68,66.57,63.63
Awdal,1982,46,0.083,302.99,61.72,71.04,66.38
Awdal,1982,47,0.085,302.19,61.39,74.4,67.9
Awdal,1982,48,0.088,302.45,61.52,66.66,64.09
Awdal,1982,49,0.089,302.34,60.48,65.76,63.12
Awdal,1982,50,0.089,301.76,60.6,76.06,68.33
Awdal,1982,51,0.09,301.3,62.46,81.14,71.8
Awdal,1982,52,0.092,301.3,66.34,77.31,71.83
Awdal,1983,1,0.092,301.33,69.99,73.15,71.57
Awdal,1983,2,0.088,300.95,68.7,74.79,71.75
Awdal,1983,3,0.077,300.21,61.6,79.86,70.73
Awdal,1983,4,0.061,299.05,44.87,88.91,66.89
Awdal,1983,5,0.051,298.38,34.59,92.02,63.3
Awdal,1983,6,0.049,298.24,33.34,92.86,63.1
Awdal,1983,7,0.051,298.27,37.86,88.75,63.3
Awdal,1983,8,0.058,298.85,45.61,85.03,65.32
Awdal,1983,9,0.063,299.46,47.97,85,66.48
Awdal,1983,10,0.065,299.82,47.98,83.1,65.54
Awdal,1983,11,0.066,300.22,46.94,78.76,62.85
Awdal,1983,12,0.068,300.31,46.64,72.24,59.44
Awdal,1983,13,0.071,300.56,49.05,68.61,58.83
Awdal,1983,14,0.077,300.74,55.22,71.1,63.16
Awdal,1983,15,0.088,301.3,66.49,70.35,68.42
Awdal,1983,16,0.103,302.31,78.95,68.59,73.77
Awdal,1983,17,0.118,303.4,85.55,65.35,75.45
Awdal,1983,18,0.127,304.26,87.14,61.77,74.46
Awdal,1983,19,0.13,304.82,87.08,59.14,73.11
Awdal,1983,20,0.129,305.14,85.23,58.72,71.97
Awdal,1983,21,0.126,305.92,84.88,58.06,71.47
Awdal,1983,22,0.116,306.6,82.93,59.63,71.28
Awdal,1983,23,0.104,307.22,81.25,61,71.12
Awdal,1983,24,0.095,308.08,81.35,60.04,70.7
Awdal,1983,25,0.083,308.4,80.71,58.38,69.54
Awdal,1983,26,0.071,308.17,78.83,56.21,67.52
Awdal,1983,27,0.061,307.89,76.45,51.95,64.2
Awdal,1983,28,0.054,307.95,74.54,44.08,59.31
Awdal,1983,29,0.049,308.03,72.96,37.5,55.23
Awdal,1983,30,0.043,307.54,66.64,35.57,51.11
Awdal,1983,31,0.037,306.71,57.49,36.89,47.19
Awdal,1983,32,0.035,306.02,52.52,39.69,46.1
Awdal,1983,33,0.036,306.02,51.5,41.93,46.71
Awdal,1983,34,0.038,306.36,51.7,43.31,47.51
Awdal,1983,35,0.04,306.79,51.74,45.45,48.6
Awdal,1983,36,0.042,307.02,51.03,49.24,50.14
Awdal,1983,37,0.047,307.67,53.25,51.3,52.28
Awdal,1983,38,0.049,307.61,52.23,57.32,54.77
Awdal,1983,39,0.05,307.06,49.59,65.1,57.34
Awdal,1983,40,0.054,306.8,50.23,69.47,59.85
Awdal,1983,41,0.058,306.77,52.89,68.41,60.65
Awdal,1983,42,0.062,306.47,52.81,65.12,58.96
Awdal,1983,43,0.065,306.01,53.36,61.82,57.59
Awdal,1983,44,0.067,305.64,52.22,58,55.11
Awdal,1983,45,0.068,305.38,49.83,56.52,53.17
Awdal,1983,46,0.069,305.09,47.3,55.23,51.27
Awdal,1983,47,0.069,304.89,44.96,53.35,49.16
Awdal,1983,48,0.068,304.56,42.34,50.68,46.51
Awdal,1983,49,0.065,304.27,39.63,51.23,45.43
Awdal,1983,50,0.062,303.99,37.58,57.61,47.59
Awdal,1983,51,0.06,303.83,37.15,58.95,48.05
Awdal,1983,52,0.059,303.94,38.39,55.02,46.71
Awdal,1984,1,0.058,303.96,39.33,50.55,44.94
Awdal,1984,2,0.057,304.09,41.06,48.22,44.64
Awdal,1984,3,0.057,304.53,44.84,44.33,44.58
Awdal,1984,4,0.06,305.36,48.81,38.6,43.71
Awdal,1984,5,0.062,306.17,50.83,33.34,42.08
Awdal,1984,6,0.062,306.59,53.25,32.84,43.04
Awdal,1984,7,0.064,307.46,57.74,28.83,43.28
Awdal,1984,8,0.066,308.22,60.65,27.15,43.9
Awdal,1984,9,0.065,308.97,59.38,28.08,43.73
Awdal,1984,10,0.061,309.09,53.75,31.23,42.49
Awdal,1984,11,0.056,309.09,46.75,32.96,39.86
Awdal,1984,12,0.053,308.93,42.06,31.33,36.69
Awdal,1984,13,0.05,308.27,37.49,33.45,35.47
Awdal,1984,14,0.048,308.26,32.83,35.42,34.13
Awdal,1984,15,0.045,308.47,28.35,33.16,30.75
Awdal,1984,16,0.044,307.71,24.65,36.58,30.62
Awdal,1984,17,0.042,306.03,20.96,43.74,32.35
Awdal,1984,18,0.039,303.68,16.49,51.67,34.08
Awdal,1984,19,0.037,301.14,14.25,56.95,35.6
Awdal,1984,20,0.037,299.98,14.02,59.57,36.79
Awdal,1984,21,0.035,299.88,13.72,63.77,38.74
Awdal,1984,22,0.034,301.29,13.72,69.25,41.48
Awdal,1984,23,0.031,303,13.33,72.55,42.94
Awdal,1984,24,0.028,304.67,13.05,73.55,43.3
Awdal,1984,25,0.025,305.22,13.67,74.84,44.26
Awdal,1984,26,0.022,305.24,15.1,73.38,44.24
Awdal,1984,27,0.021,306.57,18.15,58.4,38.28
Awdal,1984,28,0.02,307.86,21.3,41.59,31.45
Awdal,1984,29,0.018,308.21,22.95,34.04,28.49
Awdal,1984,30,0.018,308.32,25.23,29.26,27.24
Awdal,1984,31,0.018,307.75,27.51,30.03,28.77
Awdal,1984,32,0.018,308.04,28.97,28.72,28.85
Awdal,1984,33,0.019,309.05,28.73,25.92,27.33
Awdal,1984,34,0.02,308.76,28.14,30.44,29.29
Awdal,1984,35,0.022,308.12,27.89,37.28,32.59
Awdal,1984,36,0.024,307.4,27.51,45.11,36.31
Awdal,1984,37,0.027,307.28,27.04,51.69,39.37
Awdal,1984,38,0.032,307.58,29.43,56.27,42.85
Awdal,1984,39,0.038,307.65,33.89,60.23,47.06
Awdal,1984,40,0.043,307.64,37.38,62.8,50.09
Awdal,1984,41,0.045,307.26,35.81,64.26,50.03
Awdal,1984,42,0.046,306.8,32,62.27,47.13
Awdal,1984,43,0.047,306.23,29.53,60.1,44.81
Awdal,1984,44,0.046,304.54,26.72,66.22,46.47
Awdal,1984,45,0.043,304.66,20.51,62.34,41.43
Awdal,1984,46,0.041,304.14,17.61,62.9,40.25
Awdal,1984,47,0.039,303.76,15.71,62.62,39.16
Awdal,1984,48,0.037,303.38,13.9,59.45,36.67
Awdal,1984,49,0.038,304.01,15.73,53.38,34.55
Awdal,1985,9,0.094,311.69,79.44,12.33,45.89
Awdal,1985,10,0.09,311.89,75.54,15.58,45.56
Awdal,1985,11,0.085,311.4,69.47,21.48,45.48
Awdal,1985,12,0.078,310.95,61.91,23.72,42.81
Awdal,1985,13,0.07,310.34,53.93,27.2,40.57
Awdal,1985,14,0.063,309.67,46.62,32.5,39.56
Awdal,1985,15,0.06,308.96,41.51,35.4,38.46
Awdal,1985,16,0.059,308.42,39.15,38.87,39.01
Awdal,1985,17,0.062,308.17,37.96,42.17,40.06
Awdal,1985,18,0.068,308.37,40.04,42.44,41.24
Awdal,1985,19,0.074,308.86,43.55,40.88,42.21
Awdal,1985,20,0.078,309.79,45.86,35.85,40.86
Awdal,1985,21,0.078,311.1,47.71,30.56,39.13
Awdal,1985,22,0.074,312.28,47.98,26.8,37.39
Awdal,1985,23,0.067,312.54,46.62,26.22,36.42
Awdal,1985,24,0.059,312.46,44.55,27.58,36.06
Awdal,1985,25,0.051,312.63,43.47,25.16,34.32
Awdal,1985,26,0.045,312.6,44.3,21.27,32.79
Awdal,1985,27,0.038,312.25,42.86,18.24,30.55
Awdal,1985,28,0.032,311.63,38.29,17.53,27.91
Awdal,1985,29,0.027,311.12,34.62,17.67,26.15
Awdal,1985,30,0.025,311.13,33.71,15.13,24.42
Awdal,1985,31,0.023,310.87,32.2,15.23,23.71
Awdal,1985,32,0.023,310.62,30.02,16.54,23.28
Awdal,1985,33,0.024,310.8,28.51,16.79,22.65
Awdal,1985,34,0.026,311.21,29.01,16.05,22.53
Awdal,1985,35,0.03,311.85,31.26,14.26,22.76
Awdal,1985,36,0.033,311.92,32.82,16.08,24.45
Awdal,1985,37,0.037,312.3,34.86,16.5,25.68
Awdal,1985,38,0.043,313.02,38.71,14.19,26.45
Awdal,1985,39,0.048,313.47,41.8,12.05,26.92
Awdal,1985,40,0.05,313.46,41.68,11.98,26.83
Awdal,1985,41,0.051,313.2,39.21,12.11,25.66
Awdal,1985,42,0.051,312.64,34.36,13.37,23.87
Awdal,1985,43,0.05,312.25,31.99,12.37,22.18
Awdal,1985,44,0.048,311.43,28.27,13.92,21.1
Awdal,1985,45,0.047,310.83,24.33,14.22,19.27
Awdal,1985,46,0.045,310.36,21.58,13.37,17.48
Awdal,1985,47,0.042,309.56,18.93,15.03,16.98
Awdal,1985,48,0.041,309.04,17.46,14.86,16.16
Awdal,1985,49,0.039,308.39,16.22,17.79,17.01
Awdal,1985,50,0.037,307.83,15.3,22.84,19.07
Awdal,1985,51,0.036,307.68,15.45,22.38,18.91
Awdal,1985,52,0.035,307.62,16.14,20.82,18.48
Awdal,1986,1,0.032,307.12,13.48,20.27,16.88
Awdal,1986,2,0.029,306.79,13.17,21.94,17.56
Awdal,1986,3,0.025,306.77,12.63,22.5,17.57
Awdal,1986,4,0.022,306.9,10.68,23,16.84
Awdal,1986,5,0.017,306.72,7.85,25.54,16.69
Awdal,1986,6,0.013,306.68,6.53,28.76,17.65
Awdal,1986,7,0.011,305.83,6.41,35.84,21.13
Awdal,1986,8,0.009,305.12,6.58,41.94,24.26
Awdal,1986,9,0.01,305.91,7.52,42.25,24.88
Awdal,1986,10,0.012,306.04,8.29,44.68,26.49
Awdal,1986,11,0.013,305.63,8.08,47.21,27.65
Awdal,1986,12,0.016,305.05,8.34,46.55,27.44
Awdal,1986,13,0.02,303.14,8.81,51.51,30.16
Awdal,1986,14,0.025,300.3,9.8,61.82,35.81
